"Website id",1
Email,fly.ning@heavengifts.com
"Group id",1
"Store id",2
"Created at","09.05.2023 03:30:56"
"Updated at","11.05.2023 01:34:26"
"Disable auto group change",0
"Created in",English
Firstname,fly1
Lastname,ning1
Dob,2023-05-02
Id,13
"Address Firstname,N122"
"Address Lastname,ning"
"Address Company,Cn"
"Address Street,Sl1,Sl2"
"Address City,C"
"Address Country id,CN"
"Address Region,Anhui Sheng,CN-AH,588"
"Address Region id,588"
"Address Postcode,PA46 9AA"
"Address Telephone,12345"
"Address Id,8"
"Address Customer id,13"
