"Website id",1
Email,1004856404@qq.com
"Group id",1
"Store id",1
"Created at","May 9, 2023, 12:49:30 AM"
"Updated at","May 10, 2023, 9:20:12 PM"
"Disable auto group change",0
"Created in",English
Firstname,lisa
Lastname,lisa
Dob,2023-05-08
"Default billing",13
"Default shipping",13
Id,8
"Address Firstname,lisa_aaaa"
"Address Lastname,lisa_aaaa"
"Address Company,aaaaa"
"Address Street,Unit 16, The Gateway Estate, Birmingham Cargo Airport,"
"Address City,Birmingham"
"Address Country id,GB"
"Address Region id,0"
"Address Postcode,B26 3QD"
"Address Telephone,18888052583"
"Address Region,,,0"
"Address Id,11"
"Address Customer id,8"
